1711	r3	I	read
1726	r0	C	read
1743	r2	C	read
3599	r4	C	read
3862	r1	C	read
3870	r3	I	write
5201	r3	I	read
6118	r0	A	read
6727	r1	C	read
7449	r3	I	read
8250	r2	A	read
8771	r1	C	write
9642	r0	I	write
10588	r1	C	write
10777	r2	G	write
11571	r4	I	read
11999	r1	C	read
12679	r2	G	write
13607	r4	I	read
13870	r2	C	write
14528	r4	G	read
15347	r4	G	read
15954	r1	J	write
16046	r4	I	write
17134	r4	J	read
17259	r4	I	read
18353	r1	I	read
19210	r4	C	read
19236	r2	I	write
20695	r0	C	read
20772	r1	I	write
20840	r0	I	read
21830	r0	D	read
23302	r1	C	read
23457	r1	I	read
23800	r4	D	write
25032	r2	E	read
25638	r1	H	read
26299	r1	H	read
26387	r2	E	read
26490	r4	D	read
28114	r0	D	read
28184	r3	E	read
28697	r1	H	read
29938	r0	C	write
30241	r1	E	write
30417	r1	H	write
31368	r4	C	read
32358	r4	G	write
32374	r0	E	read
33530	r0	F	write
33911	r1	A	write
34098	r4	G	read
34831	r4	F	read
35451	r0	A	write
35595	r4	G	read
36667	r0	A	read
36973	r3	F	write
37395	r2	G	write
38213	r2	G	read
38705	r0	I	read
39166	r3	A	read
40069	r3	G	write
40266	r0	J	read
40482	r1	A	read
42188	r1	A	read
42457	r4	J	write
42771	r3	G	read
43964	r1	A	read
44335	r3	G	read
45060	r4	J	read
45370	r1	D	read
46507	r3	E	write
46515	r0	D	read
47243	r4	B	read
47832	r0	D	read
47947	r2	E	read
49012	r4	D	read
49856	r4	D	write
50116	r2	E	write
50528	r4	D	read
50881	r2	E	write
51620	r4	D	read
51800	r0	C	read
52289	r2	E	read
53329	r0	C	read
53482	r4	D	write
54019	r1	E	write
54155	r0	C	read
55801	r0	E	read
55816	r2	E	read
56329	r3	F	read
57347	r0	E	write
57789	r0	F	write
57872	r3	F	write
59152	r1	B	read
59390	r0	G	write
60272	r4	F	read
60621	r1	B	write
61049	r3	G	read
62492	r4	B	read
62509	r4	F	read
62989	r4	G	write
63304	r4	B	write
64017	r4	G	write
64866	r4	F	read
64986	r4	B	read
66526	r0	B	read
66740	r3	H	read
66947	r4	F	read
67996	r3	H	read
68807	r4	F	write
